cluster,cluster_label,dominant_pathway,drug_name,canonical_drug_id,target,target_pathway,moa,luad_4tier,match_keywords,hypothesis
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Dactinomycin,1811,RNA polymerase,Other,RNA polymerase inhibitor,Tier3,broad_lung_tier_context,Dactinomycin is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
1,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Dactinomycin,1811,RNA polymerase,Other,RNA polymerase inhibitor,Tier3,broad_lung_tier_context,Dactinomycin is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
2,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Dactinomycin,1811,RNA polymerase,Other,RNA polymerase inhibitor,Tier3,broad_lung_tier_context,Dactinomycin is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Docetaxel,1819,Microtubule stabiliser,Mitosis,tubulin polymerization inhibitor,Tier1,MITOSIS; MICROTUBULE,Docetaxel is a Tier1 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
1,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Docetaxel,1819,Microtubule stabiliser,Mitosis,tubulin polymerization inhibitor,Tier1,MITOSIS; MICROTUBULE,Docetaxel is a Tier1 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
2,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Docetaxel,1819,Microtubule stabiliser,Mitosis,tubulin polymerization inhibitor,Tier1,MITOSIS; MICROTUBULE,Docetaxel is a Tier1 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Paclitaxel,1080,Microtubule stabiliser,Mitosis,tubulin polymerization inhibitor,Tier1,MITOSIS; MICROTUBULE,Paclitaxel is a Tier1 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
1,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Paclitaxel,1080,Microtubule stabiliser,Mitosis,tubulin polymerization inhibitor,Tier1,MITOSIS; MICROTUBULE,Paclitaxel is a Tier1 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
2,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Paclitaxel,1080,Microtubule stabiliser,Mitosis,tubulin polymerization inhibitor,Tier1,MITOSIS; MICROTUBULE,Paclitaxel is a Tier1 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Teniposide,1809,,DNA replication,topoisomerase inhibitor,Tier3,DNA; TOP,Teniposide is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
1,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Teniposide,1809,,DNA replication,topoisomerase inhibitor,Tier3,DNA; TOP,Teniposide is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
2,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Teniposide,1809,,DNA replication,topoisomerase inhibitor,Tier3,DNA; TOP,Teniposide is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Bleomycin (50 uM),1378,dsDNA break induction,DNA replication,,Tier4,DNA,Bleomycin (50 uM) is a Tier4 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
1,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Bleomycin (50 uM),1378,dsDNA break induction,DNA replication,,Tier4,DNA,Bleomycin (50 uM) is a Tier4 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
2,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Bleomycin (50 uM),1378,dsDNA break induction,DNA replication,,Tier4,DNA,Bleomycin (50 uM) is a Tier4 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
0,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Methotrexate,1008,Antimetabolite,DNA replication,,Tier3,DNA,Methotrexate is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
1,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Methotrexate,1008,Antimetabolite,DNA replication,,Tier3,DNA,Methotrexate is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
2,PI/TP53-Proliferative-like WSI Cluster,TP53/cell-cycle/proliferative injury biology,Methotrexate,1008,Antimetabolite,DNA replication,,Tier3,DNA,Methotrexate is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.
