canonical_drug_id,drug_name,smiles,supported_target_axes,best_rank,best_model,best_pred_label_regression,models_present,model_support_count,safety_score_best,toxicity_flag_count_best,max_phase_best,oral_best,black_box_warning_best,is_reference_drug,core_axis_supported,synovium_validation_strength,blood_support_strength,selection_tier,recommended_final_candidate,selection_note
CHEMBL1789941,RUXOLITINIB,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,,1,CatBoost,-9.861988195577986,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,10.0,0,,0,0,True,False,0.852503403192269,0.5667515060516727,tier1_reference_anchor,True,known RA reference anchor in the named-drug label space
CHEMBL221959,TOFACITINIB,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,,12,CatBoost,-7.681710450531761,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,10.0,0,,0,0,True,False,0.852503403192269,0.5667515060516727,tier1_reference_anchor,True,known RA reference anchor in the named-drug label space
CHEMBL1873475,IBRUTINIB,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,,2,CatBoost,-9.29485551731263,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,10.0,0,,0,0,False,False,0.852503403192269,0.5667515060516727,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL4297674,BRANEBRUTINIB,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,,3,CatBoost,-9.209569609114649,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,,0,0,False,False,0.852503403192269,0.5667515060516727,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL4594420,LUXEPTINIB,Cc1c[nH]c(-c2ccc(-c3ccc(NC(=O)Nc4c(F)cc(F)cc4F)cc3F)c3c2C(=O)NC3)n1,,4,ExtraTrees,-9.21034049987793,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,,0,0,False,False,0.852503403192269,0.5667515060516727,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,4,CatBoost,-9.044931925574335,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,10.0,0,,0,0,False,False,0.852503403192269,0.5667515060516727,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL1231124,AZD-1480,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1,JAK2,6,CatBoost,-8.48756408715436,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,,0,0,False,True,0.852503403192269,0.5667515060516727,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL4303389,NS-018,C[C@H](Nc1cc(-c2cnn(C)c2)cc(Nc2cnccn2)n1)c1ccc(F)cc1,,7,CatBoost,-7.942357828869492,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,,0,0,False,False,0.852503403192269,0.5667515060516727,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL4756476,NEMTABRUTINIB,O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,,8,CatBoost,-7.882552820898787,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,,0,0,False,False,0.852503403192269,0.5667515060516727,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL3936761,ZANUBRUTINIB,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,,8,ExtraTrees,-8.111727714538574,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,,0,0,False,False,0.852503403192269,0.5667515060516727,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL3900554,BMS-986142,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,JAK2,9,CatBoost,-7.81149632665036,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,,0,0,False,True,0.852503403192269,0.5667515060516727,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL4209441,SOFNOBRUTINIB,Cn1cc(Nc2nc(N)nc(-c3cccc(-n4ccc5cc(C6CC6)cc(F)c5c4=O)c3CO)n2)cn1,,9,ExtraTrees,-7.849363803863525,ExtraTrees|LightGBM|RandomForest|XGBoost,4,5.0,0,,0,0,False,False,0.852503403192269,0.5667515060516727,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL4297865,ABIVERTINIB,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,JAK1,10,CatBoost,-7.775656889067772,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,,0,0,False,True,0.852503403192269,0.5667515060516727,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL4066193,ATINVICITINIB,COc1cc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc(F)n1,,12,ExtraTrees,-7.824046134948731,ExtraTrees|LightGBM|RandomForest|XGBoost,4,5.0,0,,0,0,False,False,0.852503403192269,0.5667515060516727,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL5077961,MILREBRUTINIB,Nc1nc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)c2cc(C3=CCN(C4COC4)CC3)[nH]c2n1,,14,CatBoost,-7.462573854058209,CatBoost|ExtraTrees|LightGBM|RandomForest|XGBoost,5,5.0,0,,0,0,False,False,0.852503403192269,0.5667515060516727,tier2_cross_model_supported,True,appears across at least three phase2a final15 model outputs
CHEMBL4447181,LONDAMOCITINIB,COC[C@H](C(=O)Nc1cccc2c(-c3nc(Nc4cccc(S(C)(=O)=O)c4F)ncc3F)c[nH]c12)N1CCN(C)CC1,JAK2,15,CatBoost,-7.381652938182148,CatBoost,1,5.0,0,,0,0,False,True,0.852503403192269,0.5667515060516727,tier3_core_axis_supported,True,tagged as a core RA synovium axis candidate
