phase,model,evaluation,patient_dim,drug_dim,pair_rows,drug_count,spearman_mean,spearman_std,rmse_mean,rmse_std,train_spearman_mean,spearman_gap_mean
phase2a,RandomForest,holdout,340,12,19304,127,1.0,0.0,0.0,0.0,0.9999999999999998,-2.220446049250313e-16
phase2a,RandomForest,drug_groupcv,340,12,19304,127,0.7690655959534429,0.1065744322371062,2.154250310067076,0.4298732021731334,1.0,0.2309344040465571
phase2a,RandomForest,scaffoldcv,340,12,19304,127,0.6781825244237248,0.18648884892347314,2.204771862828022,0.4840004815471548,1.0,0.3218174755762752
phase2a,ExtraTrees,holdout,340,12,19304,127,0.9999790003176428,0.0,0.003982952970274479,0.0,0.9999999999999998,2.0999682357025762e-05
phase2a,ExtraTrees,drug_groupcv,340,12,19304,127,0.9081922270724495,0.05160453658095223,1.3630547370045256,0.3266926862284416,1.0,0.09180777292755045
phase2a,ExtraTrees,scaffoldcv,340,12,19304,127,0.8859454801311175,0.03546572979148282,1.4089813500454642,0.19085040213259374,1.0,0.1140545198688826
phase2a,LightGBM,holdout,340,12,19304,127,0.9998513007781462,0.0,0.018321975264548547,0.0,0.9998461495310514,-5.151247094770106e-06
phase2a,LightGBM,drug_groupcv,340,12,19304,127,0.8122295877022707,0.08753120696894245,1.958873059813783,0.34212810293787765,0.9998522408378981,0.18762265313562732
phase2a,LightGBM,scaffoldcv,340,12,19304,127,0.7488767135182126,0.11124113563275782,1.9897249894110551,0.24418184348196992,0.9998250780456855,0.250948364527473
phase2a,XGBoost,holdout,340,12,19304,127,0.9996471687774047,0.0,0.05832125756870428,0.0,0.9996570120547935,9.843277388843497e-06
phase2a,XGBoost,drug_groupcv,340,12,19304,127,0.8029680750336435,0.08091384295404098,1.924410991524984,0.29840809095697013,0.9997493714891471,0.19678129645550366
phase2a,XGBoost,scaffoldcv,340,12,19304,127,0.799494800926085,0.06804233809004112,1.762600681318818,0.14281644227131063,0.9996757289557481,0.20018092802966303
phase2a,CatBoost,holdout,340,12,19304,127,0.9939054364077469,0.0,0.27783345321195624,0.0,0.9940295938880724,0.00012415748032557072
phase2a,CatBoost,drug_groupcv,340,12,19304,127,0.8525176061828343,0.07359925207224681,1.6884668145451205,0.31605751354507633,0.9970271874657745,0.14450958128293992
phase2a,CatBoost,scaffoldcv,340,12,19304,127,0.8574837541515388,0.018144115236852262,1.586896490548357,0.06589657888020092,0.9978323112353641,0.14034855708382532
phase2b,RandomForest,holdout,340,1036,19304,127,1.0,0.0,0.0,0.0,0.9999999999999998,-2.220446049250313e-16
phase2b,RandomForest,drug_groupcv,340,1036,19304,127,0.570497706825355,0.14519168718719822,2.965678802254596,0.47247607195245306,1.0,0.429502293174645
phase2b,RandomForest,scaffoldcv,340,1036,19304,127,0.6156195681052753,0.03487204146980461,2.507349717590026,0.04312391215116202,1.0,0.38438043189472476
phase2b,ExtraTrees,holdout,340,1036,19304,127,1.0,0.0,0.0,0.0,0.9999999999999998,-2.220446049250313e-16
phase2b,ExtraTrees,drug_groupcv,340,1036,19304,127,0.8091319514449394,0.07093078373841545,2.063641068535235,0.126897206157313,1.0,0.19086804855506065
phase2b,ExtraTrees,scaffoldcv,340,1036,19304,127,0.7675772059734672,0.0297960537770633,2.1897969987328243,0.1934961452695593,1.0,0.23242279402653274
phase2b,LightGBM,holdout,340,1036,19304,127,0.9999036382258022,0.0,0.008102256211303229,0.0,0.9998955171060068,-8.121119795423404e-06
phase2b,LightGBM,drug_groupcv,340,1036,19304,127,0.6981824215888723,0.11951970860130573,2.404698665942836,0.3486120959070494,0.9999013384740144,0.301718916885142
phase2b,LightGBM,scaffoldcv,340,1036,19304,127,0.7282062326383926,0.016289101718283235,2.162074925133552,0.14186564397798743,0.9998657985596585,0.27165956592126594
phase2b,XGBoost,holdout,340,1036,19304,127,0.9998837579303596,0.0,0.024972091348255916,0.0,0.999881499551118,-2.2583792415042936e-06
phase2b,XGBoost,drug_groupcv,340,1036,19304,127,0.7075507870725576,0.114827508438438,2.299312616489031,0.3403759901758941,0.9998638186260115,0.29231303155345395
phase2b,XGBoost,scaffoldcv,340,1036,19304,127,0.79893177459201,0.029297192958289916,1.9917311008276475,0.1409080916424464,0.9998804587726541,0.20094868418064402
phase2b,CatBoost,holdout,340,1036,19304,127,0.9990263025462084,0.0,0.10945471041855465,0.0,0.999061664713992,3.536216778365908e-05
phase2b,CatBoost,drug_groupcv,340,1036,19304,127,0.7858417460270787,0.10470522961880972,2.1912984548239565,0.2798012095840138,0.9995790253291745,0.21373727930209588
phase2b,CatBoost,scaffoldcv,340,1036,19304,127,0.8035644609965656,0.06098171415197833,1.999442000117786,0.26889681806861876,0.9995386316301511,0.19597417063358533
